"ordinal","song_id","title","primary","credit","role","version","inventory_year","status","source_title","isrcs","appearances","earliest_verified_appearance","source_url","review_reasons"
"34","d4a2e489-7c4e-4217-ac8f-ddbebdc12f02","Believe Me","Lil Wayne","Lil Wayne feat. Drake","Feature","Original","2014","approved","Believe Me","USCM51400174","1","2014-09-08","https://musicbrainz.org/recording/95dfd1ce-688d-486b-9489-dc242e096b62","additional_recording_identities_require_review"
"35","d0bb3bdd-5d10-44d2-b5e5-b6f46a7cf3d0","Grindin'","Lil Wayne","Lil Wayne feat. Drake","Feature","Original","2014","approved","Grindin’","USCM51400291","1","2014-08-01","https://musicbrainz.org/recording/67d92df9-d6ba-464a-b6ca-f6f899254e36","additional_recording_identities_require_review"
"36","23166dfb-7743-4434-b6e8-075432972d91","Recognize","PARTYNEXTDOOR","PARTYNEXTDOOR feat. Drake","Feature","Original","2014","approved","Recognize","USWB11401866","2","2014-01-01","https://musicbrainz.org/recording/f205f580-58e9-4044-b7ef-f6d966c93a30",""
"37","b31e5f1f-8c3f-4387-bc99-bdc8ff19dbe2","Tuesday","ILoveMakonnen","ILoveMakonnen feat. Drake","Feature","Original","2014","needs_review","Tuesday","TCABY1424908;USWB11402508","6","2014-06-27","https://musicbrainz.org/recording/be904dde-a764-48dd-9d00-dadaab7cd70c","feature_list_conflicts_with_joint_primary_source_billing;additional_recording_identities_require_review"
"38","3042e021-09fc-4649-b73c-d3a82194abc6","Only","Nicki Minaj","Nicki Minaj feat. Drake, Lil Wayne & Chris Brown","Feature","Original","2014","approved","Only","USCM51400340;USCM51400341","27","2014-10-28","https://musicbrainz.org/recording/d419bd6a-20fe-40ef-ae8e-ed4eacf5401d",""
"39","e2691858-c3f4-4fe6-8d68-d379bd3cd029","Truffle Butter","Nicki Minaj","Nicki Minaj feat. Drake & Lil Wayne","Feature","Original","2015","approved","Truffle Butter","USCM51400405;USCM51400406;USCM51600276","24","2014-12-12","https://musicbrainz.org/recording/04466588-422a-423e-8f3e-10d50b2ea117","additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
"40","acfeaf9b-f82e-47ad-80c9-8643bb18d130","Blessings","Big Sean","Big Sean feat. Drake","Feature","Original","2015","approved","Blessings","FR0Z50024530;USUM71501153","11","2015-01-26","https://musicbrainz.org/recording/c2dc3c93-b409-4abc-8ffc-292847b0ce1f","additional_recording_identities_require_review"
"41","4a516f57-790e-4dcf-8d5b-8b5c1fc536bb","100","The Game","The Game feat. Drake","Feature","Original","2015","approved","100","","7","2015-06-23","https://musicbrainz.org/recording/43086aa9-ea7b-4178-9a5c-97fdc4999db6","additional_recording_identities_require_review"
"42","0773eed9-9077-47f8-a29d-b70f4c42c853","My Way (Remix)","Fetty Wap","Fetty Wap feat. Drake","Feature","Alternate / Remix","2015","approved","My Way (remix)","","1","2015-05-06","https://musicbrainz.org/recording/10be3c23-69ea-4d13-8311-2e64ce0dfa81","additional_recording_identities_require_review"
"43","fc0567e3-4989-4eeb-80fa-e5923e2bbb8a","Where Ya At","Future","Future feat. Drake","Feature","Original","2015","approved","Where Ya At","USSM11505577;USSM11505594","8","2015-01-01","https://musicbrainz.org/recording/aa570fc6-17e6-4b52-b3da-db9ac7a91ea4",""
"44","ac82427e-d761-4269-820d-4d5af0c526d5","Work","Rihanna","Rihanna feat. Drake","Feature","Original","2016","approved","Work","QM5FT1600116","17","2016-01-01","https://musicbrainz.org/recording/771e2d85-e47a-4438-bfd4-c760b97786cf","additional_recording_identities_require_review"
"45","c91b251d-ad89-4e91-aa7a-9554e54704e3","Come and See Me","PARTYNEXTDOOR","PARTYNEXTDOOR feat. Drake","Feature","Original","2016","approved","Come and See Me","USWB11600360","5","2016-03-22","https://musicbrainz.org/recording/d2bb360e-d567-4ab2-8d64-21c00c7ad894","additional_recording_identities_require_review"
"46","92896e31-88d7-4831-aa07-50244b9da08c","Why You Always Hatin?","YG","YG feat. Drake & Kamaiyah","Feature","Original","2016","approved","Why You Always Hatin?","USUM71604265","3","2016-06-17","https://musicbrainz.org/recording/1b863fcd-15a1-499d-9c0c-3a6c0b2bc966","additional_recording_identities_require_review"
"47","cca33197-67f7-4009-bdd2-550199ad218c","For Free","DJ Khaled","DJ Khaled feat. Drake","Feature","Original","2016","approved","For Free","USSM11604297;USSM11604298","4","2016-06-03","https://musicbrainz.org/recording/38ae1025-e12e-45ae-8702-10de7bbfc3c2",""
"48","a5d0c90c-9d33-4668-b8bc-c742dec09f89","Back on Road","Gucci Mane","Gucci Mane feat. Drake","Feature","Original","2016","approved","Back on Road","USAT21601831;USAT21601832","4","2016-07-21","https://musicbrainz.org/recording/deeb9cf0-93e5-4e62-a860-bd0f9ac9876b",""
"49","3ea2420a-5758-4b2e-b479-91b332952809","No Shopping","French Montana","French Montana feat. Drake","Feature","Original","2016","approved","No Shopping","USSM11604661;USSM11604672","2","2019-12-06","https://musicbrainz.org/recording/19a5617b-b7dc-459a-8512-f772c1217b10","additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
"50","2a47ed29-f4a7-4e36-a33d-cdb68a8df789","Big Amount","2 Chainz","2 Chainz feat. Drake","Feature","Original","2016","approved","Big Amount","USUM71609072","9","2016-08-05","https://musicbrainz.org/recording/69887b08-5c6f-407b-a357-40bae6d6fcf1","additional_recording_identities_require_review"
"51","398ebe3e-8487-43b9-8c66-087728a226c2","Wanna Know (Remix)","Dave","Dave feat. Drake","Feature","Alternate / Remix","2016","approved","Wanna Know (remix)","USWB11602117","1","2016-10-28","https://musicbrainz.org/recording/b998b19e-2e25-46e6-a68f-028b7bb78c4c",""
"52","89ee9038-2053-40ea-9e02-4755a7acc69c","Used to This","Future","Future feat. Drake","Feature","Original","2016","approved","Used to This","USSM11608607","4","2016-11-04","https://musicbrainz.org/recording/7f99fb91-ac2e-4739-82b6-7402e0fad0b8",""
"53","8e5a39bb-f9f2-4ea3-9ea6-c5fa86bed656","Both","Gucci Mane","Gucci Mane feat. Drake","Feature","Original","2016","approved","Both","USAT21603373","3","2016-12-16","https://musicbrainz.org/recording/bf3ec338-29c0-4e57-be66-7d72234e3d6d",""
"54","a65c80ae-c353-4c28-ab5d-f434f1a57f21","No Frauds","Nicki Minaj","Nicki Minaj, Drake & Lil Wayne","Feature / Credit Review","Original","2017","needs_review","No Frauds","USCM51700014","3","2017-03-10","https://musicbrainz.org/recording/e51b8bca-1c55-4a5c-97c3-c8ca2df171e0","feature_list_conflicts_with_joint_primary_source_billing;master_list_requires_performing_credit_verification"
"55","134d4420-8507-4aba-8fbc-9368757cd9aa","To the Max","DJ Khaled","DJ Khaled feat. Drake","Feature","Original","2017","approved","To the Max","USSM11705049;USSM11705050","4","2017-06-05","https://musicbrainz.org/recording/366f70e2-e854-4312-9593-78bc0717d868",""
"56","06597c9d-d344-4418-97d2-1f49ce578d42","Look Alive","BlocBoy JB","BlocBoy JB feat. Drake","Feature","Original","2018","approved","Look Alive","USWB11800211;USWB11800247","4","2018-02-08","https://musicbrainz.org/recording/6f059dc4-3541-498c-b2ac-4adbf3bd3a7f","additional_recording_identities_require_review"
