"ordinal","song_id","title","primary","credit","role","version","inventory_year","status","source_title","isrcs","appearances","earliest_verified_appearance","source_url","review_reasons"
"76","89efe236-5638-4243-a317-1e4776354858","ALL I NEED","Popcaan","Popcaan feat. Drake","Feature","Original","2020","approved","ALL I NEED","USWB12002892","1","2020-08-07","https://musicbrainz.org/recording/3c691cab-3911-437e-8595-2ee694ef9f92",""
"77","d35bd3e1-e5a5-40cd-8387-db5a22e02ca3","Mr. Right Now","21 Savage & Metro Boomin","21 Savage & Metro Boomin feat. Drake","Feature","Original","2020","approved","Mr. Right Now","USSM12005343;USSM12005356","5","2020-10-02","https://musicbrainz.org/recording/7101a301-d0a2-4be5-ab4f-c19de97d853b",""
"78","b7c08e43-be61-47bf-83ef-81da8f6db505","Outta Time","Bryson Tiller","Bryson Tiller feat. Drake","Feature","Original","2020","approved","Outta Time","USRC12003234","3","2020-10-02","https://musicbrainz.org/recording/1391a27b-3175-46fd-9a50-dfe35e3de175",""
"79","1106d257-f889-409e-b445-76a4f0009aa9","BB King Freestyle","Lil Wayne","Lil Wayne feat. Drake","Feature","Original","2020","approved","B.B. King Freestyle","USUG12000438","1","2020-11-27","https://musicbrainz.org/recording/79a6ee71-55b0-4d60-a793-af2fde24835c","supplied_title_differs_from_source_title;additional_recording_identities_require_review"
"80","1b0d28f9-a7e7-4f3b-91e0-77346abafe1e","Talk to Me","Drakeo the Ruler","Drakeo the Ruler feat. Drake","Feature","Original","2021","approved","Talk to Me","QZDA42108258","1","2021-02-24","https://musicbrainz.org/recording/c7b1b3f0-6ddb-422c-be8c-fc90c8471060",""
"81","13c7404e-5902-410b-b0b9-599b792b703a","Over the Top","Smiley","Smiley feat. Drake","Feature","Original","2021","approved","Over the Top","USWB12102367","4","2021-07-23","https://musicbrainz.org/recording/6769ead0-b1a2-4573-aa07-1ffde349dd6f","additional_recording_identities_require_review"
"82","21a45684-42c3-444f-b417-f0811e954a25","Having Our Way","Migos","Migos feat. Drake","Feature","Original","2021","approved","Having Our Way","USUG12101672;USUG12101673","9","2021-06-11","https://musicbrainz.org/recording/20f84272-69d4-4c3f-bb4d-46279a6c684e",""
"83","a85361d2-69bb-49ca-9629-3fa171049079","Wasting Time","Brent Faiyaz","Brent Faiyaz feat. Drake","Feature","Original","2021","approved","Wasting Time","QM24S2103302;QM24S2203219","3","2021-07-01","https://musicbrainz.org/recording/98b4707d-2187-49b3-a286-610d403fcb8a",""
"84","b4bea14a-7879-4f1e-9d0a-93ae068ce4c8","Betrayal","Trippie Redd","Trippie Redd feat. Drake","Feature","Original","2021","approved","Betrayal","QZJ842001215","2","2021-08-21","https://musicbrainz.org/recording/02a264af-0b88-4d76-bc50-38c4db6fd013",""
"85","80fa38ab-ef3f-47c6-85c4-48edaae99f59","Bubbly","Young Thug","Young Thug feat. Drake & Travis Scott","Feature","Original","2021","needs_review","Bubbly","USAT22106845;USAT22106846","2","2021-10-14","https://musicbrainz.org/recording/9271a20b-e5f5-4aaa-875d-5d8cdb979696","feature_list_conflicts_with_joint_primary_source_billing"
